_id,age,sex,email,w0,w1,w2,w3,w4
1,51,3,1,plough,lively,satisfying,marvelous,spectacular
2,28,2,2,reproduce,carry,grab,approve,dust
3,58,1,3,precious,nostalgic,jumbled,suit,approve
4,56,3,4,reign,things,godly,spy,carve
5,44,1,5,staking,aware,cheap,scattered,stem
6,52,2,6,skate,nifty,lace,flimsy,knot
7,36,2,7,basin,stare,smoke,reaction,acceptable
8,46,2,8,provide,like,lucky,salt,film
9,54,4,9,add,witty,same,stem,work
10,60,3,10,lighten,eye,tiny,force,two
11,21,0,11,hard,craven,elfin,lunch,knowledgeable
12,27,3,12,efficient,collect,daffy,illegal,magenta
13,49,3,13,sheet,desk,domineering,peaceful,educate
14,29,1,14,deafening,water,toothpaste,cruel,twist
15,44,1,15,mess up,appreciate,optimal,tooth,gate
16,24,1,16,zany,screw,obey,bad,dry
17,51,1,17,marvelous,carriage,wrist,swing,lyrical
18,27,2,18,chubby,daffy,habitual,feeble,adventurous
19,24,4,19,slip,unsightly,stream,impartial,harsh
20,22,4,20,grate,glossy,robin,chess,fast
21,24,4,21,itchy,babies,grotesque,noxious,average
22,35,3,22,various,irritating,meat,inexpensive,rinse
23,45,3,23,doctor,rule,tail,edge,sail
24,36,3,24,unequal,knotty,disagree,rambunctious,adorable
25,43,2,25,thaw,toothpaste,word,giant,amused
26,50,1,26,route,save,stone,add,toothbrush
27,34,4,27,accept,mushy,uncle,chickens,tire
28,41,4,28,sordid,lamentable,rifle,cough,force
29,27,4,29,impartial,extra-large,billowy,piquant,dazzling
30,26,2,30,arch,mere,hollow,grab,deranged
31,53,0,31,horses,long,delight,blush,amount
32,31,4,32,broad,sincere,wren,argument,cheese
33,48,1,33,scene,friendly,communicate,TRUE,donkey
34,28,2,34,detailed,position,water,committee,forgetful
35,54,1,35,smell,snotty,deafening,cycle,trap
36,34,4,36,willing,addition,serve,slippery,gather
37,40,4,37,expert,picture,torpid,eminent,bore
38,36,0,38,babies,crime,fool,ray,refuse
39,37,0,39,gleaming,drain,heavy,obedient,big
40,21,3,40,unadvised,rush,bait,wing,nonchalant
41,46,2,41,wait,rhythm,fact,reward,talk
42,36,0,42,cheerful,groan,motionless,seemly,insect
43,21,3,43,innate,bang,insurance,fit,wrench
44,45,0,44,wicked,mountainous,minute,squeeze,teeny-tiny
45,43,1,45,nonstop,sneeze,ladybug,overjoyed,happy
46,42,4,46,dislike,fry,lonely,houses,regret
47,22,2,47,puny,arithmetic,mess up,trace,empty
48,40,4,48,obnoxious,tangy,onerous,spring,nine
49,47,3,49,rest,flippant,draconian,carve,party
50,58,0,50,skirt,knotty,dust,fluffy,belong
51,55,0,51,duck,carve,bell,calculator,excited
52,20,4,52,language,memory,exchange,stuff,verse
